id,menu_item_id,profile_id
4068,15,356
4069,19,356
4070,30,356
4107,12,1702
4108,18,1702
4109,25,1702
4110,34,1702
4113,15,402
4114,19,402
4115,30,402
4189,28,4803
4190,34,4803
4303,11,4504
4304,12,4504
4305,13,4504
4306,14,4504
4307,15,4504
4308,16,4504
4309,18,4504
4310,19,4504
4311,20,4504
4312,21,4504
4313,22,4504
4314,23,4504
4315,24,4504
4316,25,4504
4317,26,4504
4318,27,4504
4319,28,4504
4320,29,4504
4321,30,4504
4322,31,4504
4323,32,4504
4324,33,4504
4325,34,4504
4326,35,4504
4327,36,4504
4328,37,4504
4329,38,4504
4330,39,4504
4331,41,4504
4332,42,4504
4333,11,303
4334,12,303
4335,13,303
4336,14,303
4337,15,303
4338,16,303
4339,18,303
4340,19,303
4341,20,303
4342,21,303
4343,22,303
4344,23,303
4345,24,303
4346,25,303
4347,26,303
4348,27,303
4349,28,303
4350,29,303
4351,30,303
4352,31,303
4353,32,303
4354,33,303
4355,34,303
4356,35,303
4357,36,303
4358,37,303
4359,38,303
4360,39,303
4361,41,303
4362,42,303
4431,11,305
4432,12,305
4433,13,305
4434,14,305
4435,15,305
4436,18,305
4437,19,305
4438,20,305
4439,21,305
4440,25,305
4441,26,305
4442,27,305
4443,28,305
4444,29,305
4445,34,305
4446,36,305
4447,39,305
4607,11,1102
4608,12,1102
4609,13,1102
4610,14,1102
4611,15,1102
4612,16,1102
4613,18,1102
4614,19,1102
4615,20,1102
4616,21,1102
4617,22,1102
4618,23,1102
4619,24,1102
4620,25,1102
4621,26,1102
4622,27,1102
4623,28,1102
4624,29,1102
4625,30,1102
4626,31,1102
4627,32,1102
4628,33,1102
4629,34,1102
4630,35,1102
4631,36,1102
4632,37,1102
4633,38,1102
4634,39,1102
4635,41,1102
4636,42,1102
4767,11,58
4768,12,58
4769,13,58
4770,14,58
4771,15,58
4772,16,58
4773,18,58
4774,19,58
4775,20,58
4776,21,58
4777,22,58
4778,23,58
4779,24,58
4780,25,58
4781,26,58
4782,27,58
4783,28,58
4784,29,58
4785,30,58
4786,31,58
4787,34,58
4788,35,58
4789,36,58
4790,37,58
4791,38,58
4792,39,58
4793,41,58
4794,42,58
4802,18,255
4803,22,255
4804,25,255
4805,26,255
4806,27,255
4807,36,255
4808,37,255
4809,38,255
4810,39,255
4811,43,255
4850,11,5054
4851,12,5054
4852,13,5054
4853,14,5054
4854,15,5054
4855,16,5054
4856,18,5054
4857,19,5054
4858,20,5054
4859,21,5054
4860,22,5054
4861,23,5054
4862,24,5054
4863,25,5054
4864,26,5054
4865,28,5054
4866,29,5054
4867,30,5054
4868,31,5054
4869,32,5054
4870,33,5054
4871,34,5054
4872,36,5054
4873,37,5054
4874,41,5054
4875,42,5054
4876,43,5054
4946,11,56
4947,12,56
4948,13,56
4949,14,56
4950,15,56
4951,16,56
4952,18,56
4953,19,56
4954,20,56
4955,21,56
4956,22,56
4957,23,56
4958,24,56
4959,25,56
4960,26,56
4961,27,56
4962,28,56
4963,29,56
4964,30,56
4965,31,56
4966,32,56
4967,33,56
4968,34,56
4969,35,56
4970,36,56
4971,37,56
4972,38,56
4973,39,56
4974,41,56
4975,42,56
4976,43,56
4977,11,5059
4978,12,5059
4979,13,5059
4980,14,5059
4981,15,5059
4982,16,5059
4983,18,5059
4984,19,5059
4985,20,5059
4986,21,5059
4987,22,5059
4988,23,5059
4989,24,5059
4990,25,5059
4991,26,5059
4992,27,5059
4993,28,5059
4994,29,5059
4995,30,5059
4996,31,5059
4997,32,5059
4998,33,5059
4999,34,5059
5000,35,5059
5001,36,5059
5002,37,5059
5003,38,5059
5004,39,5059
5005,41,5059
5006,42,5059
5007,43,5059
5191,11,107
5192,12,107
5193,13,107
5194,14,107
5195,15,107
5196,16,107
5197,18,107
5198,19,107
5199,20,107
5200,21,107
5201,22,107
5202,23,107
5203,24,107
5204,25,107
5205,26,107
5206,27,107
5207,28,107
5208,29,107
5209,30,107
5210,31,107
5211,32,107
5212,33,107
5213,34,107
5214,35,107
5215,36,107
5216,37,107
5217,38,107
5218,39,107
5219,41,107
5220,42,107
5221,43,107
5275,11,208
5276,12,208
5277,13,208
5278,14,208
5279,15,208
5280,16,208
5281,18,208
5282,19,208
5283,20,208
5284,21,208
5285,22,208
5286,23,208
5287,24,208
5288,25,208
5289,26,208
5290,27,208
5291,28,208
5292,29,208
5293,30,208
5294,31,208
5295,32,208
5296,33,208
5297,34,208
5298,35,208
5299,36,208
5300,37,208
5301,38,208
5302,39,208
5303,41,208
5304,42,208
5305,43,208
5434,18,3302
5435,25,3302
5436,26,3302
5437,27,3302
5438,28,3302
5439,29,3302
5445,11,4703
5446,12,4703
5447,13,4703
5448,14,4703
5449,15,4703
5450,16,4703
5451,18,4703
5452,19,4703
5453,20,4703
5454,21,4703
5455,22,4703
5456,23,4703
5457,24,4703
5458,25,4703
5459,26,4703
5460,27,4703
5461,28,4703
5462,29,4703
5463,30,4703
5464,31,4703
5465,32,4703
5466,33,4703
5467,34,4703
5468,35,4703
5469,36,4703
5470,37,4703
5471,38,4703
5472,39,4703
5473,41,4703
5474,42,4703
5475,43,4703
5485,11,206
5486,12,206
5487,13,206
5488,14,206
5489,15,206
5490,16,206
5491,18,206
5492,19,206
5493,20,206
5494,21,206
5495,25,206
5496,26,206
5497,27,206
5498,30,206
5499,31,206
5500,32,206
5501,33,206
5502,34,206
5503,35,206
5504,41,206
5505,43,206
5568,18,258
5569,22,258
5601,11,4709
5602,12,4709
5603,13,4709
5604,14,4709
5605,15,4709
5606,16,4709
5607,18,4709
5608,19,4709
5609,20,4709
5610,21,4709
5611,22,4709
5612,23,4709
5613,24,4709
5614,25,4709
5615,26,4709
5616,27,4709
5617,28,4709
5618,29,4709
5619,30,4709
5620,31,4709
5621,32,4709
5622,33,4709
5623,34,4709
5624,35,4709
5625,36,4709
5626,37,4709
5627,38,4709
5628,39,4709
5629,41,4709
5630,42,4709
5631,43,4709
5732,14,307
5733,18,307
5734,22,307
5735,23,307
5736,24,307
5737,32,307
5738,33,307
5739,34,307
5740,39,307
5757,11,4613
5758,12,4613
5759,13,4613
5760,14,4613
5761,15,4613
5762,16,4613
5763,18,4613
5764,19,4613
5765,20,4613
5766,21,4613
5767,22,4613
5768,23,4613
5769,24,4613
5770,25,4613
5771,26,4613
5772,27,4613
5773,28,4613
5774,29,4613
5775,30,4613
5776,31,4613
5777,32,4613
5778,33,4613
5779,34,4613
5780,35,4613
5781,36,4613
5782,37,4613
5783,38,4613
5784,39,4613
5785,41,4613
5786,42,4613
5787,43,4613
5829,11,207
5830,12,207
5831,13,207
5832,14,207
5833,15,207
5834,16,207
5835,18,207
5836,19,207
5837,20,207
5838,21,207
5839,22,207
5840,23,207
5841,24,207
5842,25,207
5843,26,207
5844,27,207
5845,28,207
5846,29,207
5847,30,207
5848,31,207
5849,32,207
5850,33,207
5851,34,207
5852,35,207
5853,36,207
5854,37,207
5855,38,207
5856,39,207
5857,41,207
5858,42,207
5859,43,207
5860,18,5203
5861,11,5177
5862,12,5177
5863,13,5177
5864,14,5177
5865,15,5177
5866,16,5177
5867,18,5177
5868,19,5177
5869,20,5177
5870,21,5177
5871,22,5177
5872,23,5177
5873,24,5177
5874,25,5177
5875,26,5177
5876,27,5177
5877,28,5177
5878,29,5177
5879,30,5177
5880,31,5177
5881,32,5177
5882,33,5177
5883,34,5177
5884,35,5177
5885,36,5177
5886,37,5177
5887,38,5177
5888,39,5177
5889,41,5177
5890,42,5177
5891,43,5177
5905,11,5207
5906,12,5207
5907,14,5207
5908,34,5207
5914,18,5208
5915,19,5208
5916,20,5208
5917,21,5208
5918,34,5208
5919,43,5208
6200,11,103
6201,12,103
6202,13,103
6203,14,103
6204,15,103
6205,16,103
6206,18,103
6207,19,103
6208,20,103
6209,21,103
6210,22,103
6211,24,103
6212,25,103
6213,26,103
6214,27,103
6215,28,103
6216,29,103
6217,30,103
6218,31,103
6219,32,103
6220,33,103
6221,34,103
6222,35,103
6223,36,103
6224,37,103
6225,38,103
6226,39,103
6227,41,103
6228,42,103
6229,43,103
6230,11,5
6231,18,5
6232,19,5
6233,20,5
6234,21,5
6235,22,5
6236,36,5
6237,37,5
6238,38,5
6239,39,5
6240,41,5
6241,11,4617
6242,12,4617
6243,14,4617
6244,15,4617
6245,16,4617
6246,18,4617
6247,19,4617
6248,20,4617
6249,22,4617
6250,23,4617
6251,24,4617
6252,25,4617
6253,26,4617
6254,27,4617
6255,28,4617
6256,29,4617
6257,30,4617
6258,31,4617
6259,32,4617
6260,33,4617
6261,34,4617
6262,35,4617
6263,37,4617
6264,38,4617
6265,39,4617
6266,41,4617
6267,42,4617
6268,11,4704
6269,12,4704
6270,13,4704
6271,14,4704
6272,15,4704
6273,16,4704
6274,18,4704
6275,19,4704
6276,20,4704
6277,21,4704
6278,22,4704
6279,23,4704
6280,24,4704
6281,25,4704
6282,26,4704
6283,27,4704
6284,28,4704
6285,29,4704
6286,30,4704
6287,31,4704
6288,32,4704
6289,33,4704
6290,34,4704
6291,35,4704
6292,36,4704
6293,37,4704
6294,38,4704
6295,39,4704
6296,41,4704
6297,42,4704
6298,43,4704
