profile_id,roles
52,0
57,0
102,0
104,0
108,0
106,0
106,1
106,2
152,0
202,0
203,0
204,0
205,0
209,0
253,0
252,0
252,3
256,0
257,0
304,0
306,0
53,0
53,1
308,0
309,0
352,0
353,0
354,0
355,0
357,0
452,0
453,0
502,0
503,0
504,0
552,0
602,0
603,1
604,0
605,2
606,2
652,0
653,0
702,0
55,0
752,2
753,2
754,1
755,2
756,0
802,0
803,0
804,1
805,0
805,3
4,0
4,2
852,0
902,0
952,0
953,0
954,0
1002,1
1003,0
1052,0
1053,0
1054,0
402,0
402,1
402,2
1152,0
1153,0
1154,0
1155,0
1156,0
1202,0
1252,0
1302,0
1303,0
1352,0
1353,0
1354,2
1402,0
1403,0
1452,2
302,0
302,1
302,2
1502,0
1502,5
1552,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
54,0
54,1
1752,0
1802,0
1803,0
1804,0
1852,0
1853,0
1854,0
1902,0
1903,0
1904,0
1952,0
2002,0
103,0
103,3
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,1
1652,0
1652,1
1652,2
2102,0
2102,5
2103,0
2103,5
2152,0
2153,0
2154,0
2155,0
2156,0
2202,0
2252,0
2253,1
2302,0
2352,0
2353,0
2354,0
2355,0
2356,0
2357,0
2357,2
2358,0
2360,0
2361,0
2362,0
2402,0
2452,0
2453,0
2454,0
2455,1
2456,0
2502,0
2552,2
2553,0
2554,0
2555,0
2359,2
2602,0
2603,0
254,0
254,3
254,6
2652,0
2653,1
2654,0
2753,0
2754,0
356,0
356,3
2802,0
2803,0
2804,0
2752,0
2752,1
2805,0
2852,0
207,0
207,3
207,6
2853,0
2854,1
2902,0
2503,1
2254,0
2254,1
1102,0
1102,1
2952,0
3002,0
3003,0
3052,0
3053,0
3102,0
3152,0
3153,0
3154,0
3155,0
3202,0
3252,0
3253,0
3302,0
3302,1
2702,0
2702,1
3352,0
3353,0
3353,5
3402,0
3452,0
3502,0
3502,4
3503,0
3504,0
3505,0
3505,5
3506,0
3552,0
3602,0
3652,0
3702,0
3703,0
3752,0
3805,0
3805,4
3806,0
3806,4
3852,0
3852,4
3853,0
3902,0
3902,5
3952,0
3952,4
4002,1
4052,0
4053,0
4053,4
4054,0
4054,4
4102,0
4102,4
4202,0
4202,4
4203,0
4203,5
4252,0
4302,0
4302,4
4303,0
4303,5
4304,0
4304,5
4305,0
4306,0
4306,5
4307,0
4307,5
4352,1
4402,0
4403,0
4403,5
4404,0
4404,5
208,0
208,1
208,2
208,8
4452,0
4502,0
4503,0
4505,0
4552,0
4553,0
4554,0
4555,0
4602,0
4603,0
4604,2
4605,0
4606,0
4607,0
4608,0
4609,0
4610,0
4611,0
4612,0
4614,0
4615,0
4616,0
4618,0
4619,0
4620,0
4652,0
4702,0
4705,0
4706,0
4707,0
4708,0
4710,0
4711,0
4712,0
4713,0
4714,0
4715,0
4716,2
4717,0
4718,2
4752,0
4802,0
4803,0
1702,0
1702,1
1702,2
1702,4
1702,7
1702,8
4804,0
58,0
58,1
58,2
58,4
58,3
305,0
305,1
4852,1
4853,0
4854,0
4855,0
4902,0
4952,1
5002,1
4703,0
4703,2
4703,4
5052,1
5053,1
5055,0
5056,0
5057,1
5058,1
5059,0
4504,0
4504,2
255,0
255,1
255,2
255,4
255,3
255,6
5060,0
5061,0
5102,1
5103,1
5104,1
5105,0
307,0
307,1
307,2
307,4
307,7
307,3
5152,2
5153,0
5154,0
5155,0
5156,0
4709,0
5157,1
5158,0
5159,0
5160,0
107,0
107,1
5161,1
5162,0
206,1
206,3
258,0
258,1
258,3
5163,1
5164,0
5165,2
5166,1
5167,2
5168,0
5168,5
5169,0
5169,5
5170,1
5171,1
5172,0
5173,0
5174,0
5175,1
5176,0
5202,0
5054,0
5054,4
5054,8
303,0
303,1
303,2
303,4
303,7
303,8
303,9
303,3
5203,0
5203,3
5203,6
5203,7
4613,0
4613,3
4613,7
4613,1
4613,2
4613,4
5177,0
5177,1
5177,2
5177,4
5206,0
5206,5
5207,0
5208,0
5209,0
5210,1
5211,1
5212,1
5252,0
5253,0
5254,0
5255,0
5256,0
5257,0
5258,0
5259,1
5260,1
5261,0
5,0
5,1
5,3
4617,0
4704,0
4704,1
4704,4
4704,8
56,0
56,1
56,2
56,4
56,7
56,8
56,9
56,3
5262,0
5302,2
5303,2
5304,0
