id,description,group,price
1,Available to everyone.,Global,
2,For tourists capturing receipts for international tax deductions.,International Receiver,
3,Native CR users capturing tax deductions.,CR Receiver,
4,CR sellers issuing tickets and receipts.,CR Sender,
5,"Includes contractors, lawyers, and accountants.",Contractor,
6,For enterprise management and reporting.,Enterprise,
7,Specialized tools for Activa users.,Activa,
8,"Generate tax, year-end, and advanced reports.",Reports,
9,Internal page for the developers.,Internal,
10,Access for trial users.,Free Trial,
11,Functionalities for invited users.,Invitee,
12,Functionalities for accountants,Accountant,
13,Functionalities for lawyers,Lawyer,
