id,buy_price,currency_code,date,sell_price
1,515.51,USD,2024-10-30,509.29
2,515.61,USD,2024-10-31,509.26
52,515.05,USD,2024-11-05,509.62
102,514.56,USD,2024-11-08,509.07
152,516.40,USD,2024-11-11,508.67
202,514.76,USD,2024-11-12,507.32
252,513.45,USD,2024-11-13,507.76
302,512.27,USD,2024-11-14,505.84
303,511.85,USD,2024-11-15,506.21
352,511.03,USD,2024-11-20,505.57
402,511.54,USD,2024-11-21,506.29
452,513.54,USD,2024-11-22,507.96
502,513.78,USD,2024-11-23,507.90
503,513.78,USD,2024-11-24,507.90
552,513.78,USD,2024-11-25,507.90
602,512.33,USD,2024-11-26,507.64
652,512.33,USD,2024-11-27,507.64
702,513.17,USD,2024-11-28,506.55
