profile_id,profile_company_roles_id
3,5
5,4
52,2
54,352
56,952
56,2805
58,2669
103,53
107,2662
202,2102
206,202
207,203
208,253
253,252
254,254
255,503
258,552
302,1402
303,305
305,602
306,1356
307,2807
309,1202
356,2548
402,1602
402,2554
502,502
503,504
552,604
756,752
802,753
803,754
805,854
1102,2808
1302,1302
1303,1303
1353,1352
1602,1502
1603,1503
1604,1504
1605,1505
1606,1506
1607,1507
1608,1508
1653,1552
1654,1553
1655,1554
1656,1555
1658,1556
1752,1702
1802,1752
1803,1753
1804,1754
1852,1802
1853,1803
1854,1804
1902,1852
1903,1853
1904,1854
2052,1902
2053,1903
2054,1904
2152,1952
2154,1953
2155,1954
2156,1955
2202,2003
2302,2052
2554,2152
2555,2153
2602,2202
2603,2203
2754,2307
2803,2354
2804,2353
2805,2355
2852,2406
2952,2658
3052,2803
3552,3002
